district,id,pop,dist_to_cl
LAMWO,"27445","3",75297.127058820886305
AMURU,"119205","10",46859.816969550993235
LAMWO,"27448","3",77756.414466030604672
GULU,"125393","45",3387.893601795697123
KITGUM,"33635","7",147188.625303069798974
AMURU,"116117","10",40450.180065046064556
AGAGO,"81065","33",115587.396414137881948
AMURU,"74881","42",45742.242166120922775
AGAGO,"110967","6",139186.443417359172599
AGAGO,"100658","6",131875.651017788826721
PADER,"86225","9",71522.767723677825416
NWOYA,"165612","3",40802.785862198499672
PADER,"69731","6",79545.191068108542822
AMURU,"91383","42",28568.095179960990208
NWOYA,"149119","3",41373.329275328404037
GULU,"152214","4",23291.206245410041447
PADER,"108913","13",88414.511811739648692
KITGUM,"56333","10",116173.920001047707046
KITGUM,"51178","5",95101.242609536609962
AGAGO,"83140","22",122059.791638708338724
LAMWO,"22311","7",75538.338202245737193
LAMWO,"5816","5",114802.425310631864704
AMURU,"112009","10",46211.897997597996437
PADER,"137785","17",63434.088490063011704
LAMWO,"19221","13",95103.387143578875111
NWOYA,"138817","3",27326.398989340257685
GULU,"162532","5",22687.436327610885201
GULU,"100673","6",27510.055291334392678
AMURU,"86241","42",31522.592643874628266
KITGUM,"27474","4",107916.844042901531793
AMURU,"69745","42",46499.346188797630020
PADER,"71807","20",46954.290179383518989
KITGUM,"33667","5",96449.780595512682339
PADER,"161513","10",75893.654834895860404
KITGUM,"21301","4",109030.426218054650235
LAMWO,"12024","8",97340.120974020464928
NWOYA,"179046","1",94452.008976336568594
KITGUM,"55327","5",90057.657530618118471
AGAGO,"70792","7",133773.373773853381863
KITGUM,"50173","8",86667.861581330842455
AGAGO,"119251","49",88793.264457963785389
GULU,"163585","6",49701.649059065828624
PADER,"90384","15",91243.312271908129333
KITGUM,"33680","4",122541.805622088024393
NWOYA,"158433","3",41597.085836089521763
GULU,"137814","26",6466.678001288177256
AMURU,"58428","11",57135.737598493971745
PADER,"83173","20",47718.920181963316281
NWOYA,"161529","3",46561.591881457425188
LAMWO,"694","10",137871.647227804671274
GULU,"150189","26",16297.940112512516862
PADER,"155344","10",76283.549508325959323
NWOYA,"142972","3",27068.585254915276892
NWOYA,"149158","3",36797.043089387349028
KITGUM,"63586","34",90481.347012360594817
LAMWO,"27501","3",79098.931561717326986
NWOYA,"123386","3",81707.018520017678384
GULU,"133697","11",18295.583763210448524
AMURU,"99676","44",29872.174604467069003
AMURU,"35755","11",67774.017394336755387
GULU,"109995","15",9352.660194744756154
PADER,"124429","12",78581.545452207123162
LAMWO,"1741","7",154342.106517813430401
AGAGO,"90408","6",131628.120435583521612
GULU,"172889","5",30102.875395951185055
AMURU,"59483","11",56939.918651294843585
KITGUM,"58452","5",90039.186861908005085
NWOYA,"120317","3",51136.781438836784218
LAMWO,"19280","8",95338.497870096616680
NWOYA,"175992","1",51833.298374542740930
AGAGO,"84236","22",122105.540364583051996
AMURU,"28566","11",71506.366561622853624
NWOYA,"133728","3",82833.388380388103542
GULU,"86303","3",30760.205788066137757
NWOYA,"133731","3",48567.545640028693015
PADER,"99709","9",65192.180322229207377
NWOYA,"178068","1",83602.086354793224018
PADER,"94559","15",80571.362921797714080
LAMWO,"14143","13",96492.011964519726462
PADER,"83223","9",72754.996245822359924
GULU,"145088","4",17300.371209296165034
NWOYA,"155402","3",37000.278991659113672
AMURU,"41993","11",63688.507533164542110
NWOYA,"174992","3",51924.082558989051904
LAMWO,"2816","10",122992.362922592554241
PADER,"123443","12",75748.396399049539468
PADER,"68803","6",83562.002080331207253
GULU,"120354","6",5705.288361459336556
KITGUM,"23441","7",153970.984230149595533
AMURU,"91491","10",57402.246720449453278
AMURU,"111081","10",74318.464137307353667
AMURU,"35818","11",67561.776041633653222
AGAGO,"83246","22",122884.125515990264830
PADER,"109022","9",73624.823363511255593
KITGUM,"49225","8",86848.818492931794026
AMURU,"119334","10",40087.657096242233820
AMURU,"56444","11",58336.447568179224618
NWOYA,"170885","1",55165.309098517362145
KITGUM,"64693","6",78209.437797490216326
NWOYA,"177072","3",48143.485954571115144
KITGUM,"36857","4",131590.664336241112323
PADER,"113154","9",63316.294057813182008
KITGUM,"42016","8",87670.107690848773927
KITGUM,"45112","8",87612.995413577838917
NWOYA,"177082","1",57687.058324734192865
NWOYA,"123471","3",41582.344069701735862
KITGUM,"53364","8",85258.058423303460586
PADER,"83264","9",72742.790913218792411
KITGUM,"27592","4",105268.484028098362614
PADER,"63678","6",85045.239702622246114
KITGUM,"49248","5",94289.605901819872088
PADER,"79148","20",45492.261889241366589
AGAGO,"138947","13",133462.521933551004622
AGAGO,"69873","7",132865.100393343658652
AGAGO,"66785","22",118397.997684739384567
AMURU,"110089","10",50409.696616726672801
PADER,"71942","6",82633.442942447858513
NWOYA,"161639","3",39809.519980163175205
NWOYA,"180201","1",106159.853092323857709
AMURU,"124528","44",8783.856408576290050
AGAGO,"81227","22",126985.500210506041185
AGAGO,"119375","13",131012.026882136415225
AGAGO,"136902","26",109498.473979960574070
GULU,"148245","4",35201.133325877017342
PADER,"67827","6",84551.251036303889123
AMURU,"114224","10",48710.601669852461782
